20180308041452
PyPOFacetsModular.py
BOX
input_data_file_001.dat
15000000
0
0
0
0
0
1
0
360
2
0 [(1+0j), 0j, (-0+0j)]
132 [(-0.10452846326765336+0j), 0j, (0.9945218953682734+0j)]
133 [(-0.06975647374412558+0j), 0j, (0.9975640502598242+0j)]
134 [(-0.03489949670250076+0j), 0j, (0.9993908270190958+0j)]
135 [(-1.8369701987210297e-16+0j), 0j, (1+0j)]
136 [(0.03489949670250128+0j), 0j, (0.9993908270190958+0j)]
137 [(0.06975647374412522+0j), 0j, (0.9975640502598243+0j)]
138 [(0.10452846326765299+0j), 0j, (0.9945218953682734+0j)]
139 [(0.13917310096006547+0j), 0j, (0.9902680687415704+0j)]
140 [(0.17364817766692997+0j), 0j, (0.9848077530122081+0j)]
141 [(0.20791169081775943+0j), 0j, (0.9781476007338056+0j)]
142 [(0.24192189559966745+0j), 0j, (0.9702957262759966+0j)]
143 [(0.2756373558169994+0j), 0j, (0.9612616959383188+0j)]
144 [(0.30901699437494723+0j), 0j, (0.9510565162951536+0j)]
145 [(0.342020143325669+0j), 0j, (0.9396926207859083+0j)]
146 [(0.37460659341591196+0j), 0j, (0.9271838545667874+0j)]
147 [(0.40673664307579976+0j), 0j, (0.9135454576426011+0j)]
148 [(0.4383711467890774+0j), 0j, (0.898794046299167+0j)]
149 [(0.4694715627858904+0j), 0j, (0.8829475928589271+0j)]
150 [(0.5000000000000001+0j), 0j, (0.8660254037844386+0j)]
151 [(0.5299192642332047+0j), 0j, (0.8480480961564262+0j)]
152 [(0.559192903470747+0j), 0j, (0.8290375725550416+0j)]
153 [(0.5877852522924729+0j), 0j, (0.8090169943749476+0j)]
154 [(0.6156614753256585+0j), 0j, (0.7880107536067218+0j)]
155 [(0.6427876096865393+0j), 0j, (0.7660444431189781+0j)]
156 [(0.6691306063588578+0j), 0j, (0.7431448254773946+0j)]
157 [(0.6946583704589973+0j), 0j, (0.7193398003386512+0j)]
158 [(0.7193398003386509+0j), 0j, (0.6946583704589976+0j)]
159 [(0.7431448254773942+0j), 0j, (0.6691306063588581+0j)]
160 [(0.7660444431189778+0j), 0j, (0.6427876096865396+0j)]
161 [(0.788010753606722+0j), 0j, (0.6156614753256582+0j)]
162 [(0.8090169943749473+0j), 0j, (0.5877852522924734+0j)]
163 [(0.8290375725550418+0j), 0j, (0.5591929034707466+0j)]
164 [(0.848048096156426+0j), 0j, (0.529919264233205+0j)]
165 [(0.8660254037844384+0j), 0j, (0.5000000000000004+0j)]
166 [(0.8829475928589269+0j), 0j, (0.4694715627858908+0j)]
167 [(0.8987940462991668+0j), 0j, (0.4383711467890778+0j)]
168 [(0.913545457642601+0j), 0j, (0.40673664307580015+0j)]
169 [(0.9271838545667873+0j), 0j, (0.37460659341591235+0j)]
170 [(0.9396926207859084+0j), 0j, (0.3420201433256686+0j)]
171 [(0.9510565162951535+0j), 0j, (0.3090169943749476+0j)]
172 [(0.9612616959383189+0j), 0j, (0.27563735581699894+0j)]
173 [(0.9702957262759965+0j), 0j, (0.24192189559966787+0j)]
174 [(0.9781476007338056+0j), 0j, (0.20791169081775987+0j)]
175 [(0.984807753012208+0j), 0j, (0.1736481776669304+0j)]
176 [(0.9902680687415703+0j), 0j, (0.13917310096006588+0j)]
177 [(0.9945218953682733+0j), 0j, (0.10452846326765342+0j)]
178 [(0.9975640502598242+0j), 0j, (0.06975647374412564+0j)]
179 [(0.9993908270190958+0j), 0j, (0.034899496702500823+0j)]
180 [(1+0j), 0j, (2.4492935982947064e-16+0j)]
